Match_Id,Player_Id,Role_Id,.
336002,71,Player,
336002,73,Player,
336002,80,Player,
336002,82,Player,
336002,83,Player,
336002,84,Player,
336002,85,Player,
336002,95,Player,
336002,96,Player,
336002,106,Player,
336002,149,Player,
336003,6,Captain,
336003,7,Player,
336003,8,Player,
336003,9,Player,
336003,11,Keeper,
336003,14,Player,
336003,15,Player,
336003,16,Player,
336003,40,Player,
336003,41,Captain,
336003,42,Player,
336003,52,Player,
336003,81,Player,
336003,86,Player,
336003,87,Player,
336003,88,Keeper,
336003,89,Player,
336003,91,Player,
336003,94,Player,
336003,117,Player,
336003,118,Player,
336003,175,Player,
336004,24,Player,
336004,26,Keeper,
336004,27,Captain,
336004,29,Player,
336004,53,Keeper,
336004,54,Player,
336004,55,Captain,
336004,57,Player,
336004,59,Player,
336004,61,Player,
336004,64,Player,
336004,67,Player,
336004,70,Player,
336004,76,Player,
336004,77,Player,
336004,78,Player,
336004,97,Player,
336004,98,Player,
336004,99,Player,
336004,100,Player,
336004,131,Player,
336004,437,Player,
336005,1,Captain,
336005,4,Player,
336005,31,Player,
336005,32,Player,
336005,33,Player,
336005,35,Player,
336005,36,Keeper,
336005,38,Captain,
336005,39,Player,
336005,62,Keeper,
336005,63,Player,
336005,74,Player,
336005,82,Player,
336005,84,Player,
336005,95,Player,
336005,101,Player,
336005,102,Player,
336005,103,Player,
336005,104,Player,
336005,105,Player,
336005,106,Player,
336005,126,Player,
336006,17,Player,
336006,20,CaptainKeeper,
336006,21,Player,
336006,23,Player,
336006,40,Player,
336006,41,Captain,
336006,42,Player,
336006,86,Player,
336006,88,Keeper,
336006,89,Player,
336006,91,Player,
336006,107,Player,
336006,108,Player,
336006,109,Player,
336006,110,Player,
336006,116,Player,
336006,117,Player,
336006,118,Player,
336006,119,Player,
336006,120,Player,
336006,121,Player,
336006,122,Player,
336007,6,Captain,
336007,7,Player,
336007,8,Player,
336007,9,Player,
336007,10,Player,
336007,12,Player,
336007,53,CaptainKeeper,
336007,54,Player,
336007,57,Player,
336007,59,Player,
336007,60,Player,
336007,61,Player,
336007,81,Player,
336007,94,Player,
336007,97,Player,
336007,111,Player,
336007,112,Player,
336007,113,Player,
336007,124,Player,
336007,132,Keeper,
336007,143,Player,
336007,232,Player,
336008,1,Captain,
336008,4,Player,
336008,5,Player,
336008,24,Player,
336008,25,Player,
336008,26,Keeper,
336008,27,Captain,
336008,29,Player,
336008,62,Keeper,
336008,63,Player,
336008,64,Player,
336008,67,Player,
336008,77,Player,
