Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Player_team,.
107,SP Fleming,1973/04/01,Left-hand bat,NULL,New Zealand,Chennai Super Kings,
108,S Vidyut,1981/12/03,Left-hand bat,Slow left-arm orthodox,India,Chennai Super Kings,
109,JA Morkel,1981/06/10,Left-hand bat,Right-arm medium-fast,South Africa,Chennai Super Kings,
110,AB de Villiers,1984/02/17,Right-hand bat,Right-arm medium,South Africa,Delhi Daredevils,
111,LPC Silva,1979/12/14,Right-hand bat,Legbreak,Sri Lanka,Deccan Chargers,
112,DB Ravi Teja,1987/09/05,Right-hand bat,Legbreak googly,India,Deccan Chargers,
113,Misbah-ul-Haq,1974/05/28,Right-hand bat,Legbreak,Pakistan,Royal Challengers Bangalore,
114,YV Takawale,1984/11/05,Right-hand bat,NULL,India,Mumbai Indians,
115,RR Raje,1986/09/03,Right-hand bat,Right-arm fast-medium,India,Mumbai Indians,
116,PJ Sangwan,1990/11/05,Right-hand bat,Left-arm medium,India,Delhi Daredevils,
117,Mohammad Asif,1982/12/20,Left-hand bat,Right-arm fast-medium,Pakistan,Delhi Daredevils,
118,GD McGrath,1970/02/09,Right-hand bat,Right-arm fast-medium,Australia,Delhi Daredevils,
119,Joginder Sharma,1983/10/23,Right-hand bat,Right-arm fast-medium,India,Chennai Super Kings,
120,MS Gony,1984/01/04,Right-hand bat,Right-arm medium,India,Chennai Super Kings,
121,M Muralitharan,1972/04/17,Right-hand bat,Right-arm offbreak,Sri Lanka,Chennai Super Kings,
122,M Ntini,1977/07/06,Right-hand bat,Right-arm fast,South Africa,Chennai Super Kings,
123,DT Patil,1984/12/06,Right-hand bat,NULL,India,Royal Challengers Bangalore,
124,A Kumble,1970/10/17,Right-hand bat,Legbreak googly,India,Royal Challengers Bangalore,
125,S Anirudha,1987/04/14,Right-hand bat,NULL,India,Chennai Super Kings,
126,MM Patel,1983/07/12,Right-hand bat,Right-arm medium-fast,India,Rajasthan Royals,
127,CK Kapugedera,1987/02/24,Right-hand bat,Right-arm medium,Sri Lanka,Chennai Super Kings,
128,A Chopra,1977/09/19,Right-hand bat,Right-arm offbreak,India,Kolkata Knight Riders,
129,T Taibu,1983/05/14,Right-hand bat,Right-arm medium,Zimbabwea,Kolkata Knight Riders,
130,J Arunkumar,1975/01/18,Right-hand bat,Right-arm offbreak,India,Royal Challengers Bangalore,
131,PP Ojha,1986/09/05,Left-hand bat,Slow left-arm orthodox,India,Deccan Chargers,
132,SP Goswami,1989/05/18,Left-hand bat,NULL,India,Royal Challengers Bangalore,
133,SR Tendulkar,1973/04/24,Right-hand bat,Right-arm offbreak,India,Mumbai Indians,
134,U Kaul,1987/12/02,Left-hand bat,NULL,India,Kings XI Punjab,
135,TM Dilshan,1976/10/14,Right-hand bat,Right-arm offbreak,Sri Lanka,Delhi Daredevils,
136,A Mishra,1982/11/24,Right-hand bat,Legbreak,India,Delhi Daredevils,
137,AD Mascarenhas,1977/10/30,Right-hand bat,Right-arm fast-medium,England,Rajasthan Royals,
138,NK Patel,1981/03/26,Left-hand bat,NULL,India,Rajasthan Royals,
139,LA Pomersbach,1984/09/28,Left-hand bat,Right-arm offbreak,Australia,Kings XI Punjab,
140,Iqbal Abdulla,1989/12/02,Left-hand bat,Slow left-arm orthodox,India,Kolkata Knight Riders,
